location,x,y
2A-1A-01,-79.54,21.42
2A-1A-02,-79.54,21.42
2A-1A-03,-79.54,23.6
2A-1A-04,-79.54,23.6
2A-1A-05,-79.54,25.78
2A-1A-06,-79.54,25.78
2A-1A-07,-79.54,27.96
2A-1A-08,-79.54,27.96
2A-1A-09,-79.54,30.14
2A-1A-10,-79.54,30.14
2A-1A-11,-79.54,32.32
2A-1A-12,-79.54,32.32
2A-1A-13,-79.54,34.5
2A-1A-14,-79.54,34.5
2A-1A-15,-79.54,36.68
2A-1A-16,-79.54,36.68
2A-1B-01,-77.7,36.68
2A-1B-02,-77.7,36.68
2A-1B-03,-77.7,34.5
2A-1B-04,-77.7,34.5
2A-1B-05,-77.7,32.32
2A-1B-06,-77.7,32.32
2A-1B-07,-77.7,30.14
2A-1B-08,-77.7,30.14
2A-1B-09,-77.7,27.96
2A-1B-10,-77.7,27.96
2A-1B-11,-77.7,25.78
2A-1B-12,-77.7,25.78
2A-1B-13,-77.7,23.6
2A-1B-14,-77.7,23.6
2A-1B-15,-77.7,21.42
2A-1B-16,-77.7,21.42
2A-1C-01,-75.86,21.42
2A-1C-02,-75.86,21.42
2A-1C-03,-75.86,23.6
2A-1C-04,-75.86,23.6
2A-1C-05,-75.86,25.78
2A-1C-06,-75.86,25.78
2A-1C-07,-75.86,27.96
2A-1C-08,-75.86,27.96
2A-1C-09,-75.86,30.14
2A-1C-10,-75.86,30.14
2A-1C-11,-75.86,32.32
2A-1C-12,-75.86,32.32
2A-1C-13,-75.86,34.5
2A-1C-14,-75.86,34.5
2A-1C-15,-75.86,36.68
2A-1C-16,-75.86,36.68
2A-1D-01,-74.02,36.68
2A-1D-02,-74.02,36.68
2A-1D-03,-74.02,34.5
2A-1D-04,-74.02,34.5
2A-1D-05,-74.02,32.32
2A-1D-06,-74.02,32.32
2A-1D-07,-74.02,30.14
2A-1D-08,-74.02,30.14
2A-1D-09,-74.02,27.96
2A-1D-10,-74.02,27.96
2A-1D-11,-74.02,25.78
2A-1D-12,-74.02,25.78
2A-1D-13,-74.02,23.6
2A-1D-14,-74.02,23.6
2A-1D-15,-74.02,21.42
2A-1D-16,-74.02,21.42
2A-1E-01,-72.18,21.42
2A-1E-02,-72.18,21.42
2A-1E-03,-72.18,23.6
2A-1E-04,-72.18,23.6
2A-1E-05,-72.18,25.78
2A-1E-06,-72.18,25.78
2A-1E-07,-72.18,27.96
2A-1E-08,-72.18,27.96
2A-1E-09,-72.18,30.14
2A-1E-10,-72.18,30.14
2A-1E-11,-72.18,32.32
2A-1E-12,-72.18,32.32
2A-1E-13,-72.18,34.5
2A-1E-14,-72.18,34.5
2A-1E-15,-72.18,36.68
2A-1E-16,-72.18,36.68
2A-1F-01,-70.34,36.68
2A-1F-02,-70.34,36.68
2A-1F-03,-70.34,34.5
2A-1F-04,-70.34,34.5
2A-1F-05,-70.34,32.32
2A-1F-06,-70.34,32.32
2A-1F-07,-70.34,30.14
2A-1F-08,-70.34,30.14
2A-1F-09,-70.34,27.96
2A-1F-10,-70.34,27.96
2A-1F-11,-70.34,25.78
2A-1F-12,-70.34,25.78
2A-1F-13,-70.34,23.6
2A-1F-14,-70.34,23.6
2A-1F-15,-70.34,21.42
2A-1F-16,-70.34,21.42
2A-1G-01,-68.5,21.42
2A-1G-02,-68.5,21.42
2A-1G-03,-68.5,23.6
2A-1G-04,-68.5,23.6
2A-1G-05,-68.5,25.78
2A-1G-06,-68.5,25.78
2A-1G-07,-68.5,27.96
2A-1G-08,-68.5,27.96
2A-1G-09,-68.5,30.14
2A-1G-10,-68.5,30.14
2A-1G-11,-68.5,32.32
2A-1G-12,-68.5,32.32
2A-1G-13,-68.5,34.5
2A-1G-14,-68.5,34.5
2A-1G-15,-68.5,36.68
2A-1G-16,-68.5,36.68
2A-1H-01,-66.66,36.68
2A-1H-02,-66.66,36.68
2A-1H-03,-66.66,34.5
2A-1H-04,-66.66,34.5
2A-1H-05,-66.66,32.32
2A-1H-06,-66.66,32.32
2A-1H-07,-66.66,30.14
2A-1H-08,-66.66,30.14
2A-1H-09,-66.66,27.96
2A-1H-10,-66.66,27.96
2A-1H-11,-66.66,25.78
2A-1H-12,-66.66,25.78
2A-1H-13,-66.66,23.6
2A-1H-14,-66.66,23.6
2A-1H-15,-66.66,21.42
2A-1H-16,-66.66,21.42
2A-1I-01,-64.82,21.42
2A-1I-02,-64.82,21.42
2A-1I-03,-64.82,23.6
2A-1I-04,-64.82,23.6
2A-1I-05,-64.82,25.78
2A-1I-06,-64.82,25.78
2A-1I-07,-64.82,27.96
2A-1I-08,-64.82,27.96
2A-1I-09,-64.82,30.14
2A-1I-10,-64.82,30.14
2A-1I-11,-64.82,32.32
2A-1I-12,-64.82,32.32
2A-1I-13,-64.82,34.5
2A-1I-14,-64.82,34.5
2A-1I-15,-64.82,35.37
2A-1I-16,-64.82,35.37
2A-1J-01,-62.98,35.37
2A-1J-02,-62.98,35.37
2A-1J-03,-62.98,34.5
2A-1J-04,-62.98,34.5
2A-1J-05,-62.98,32.32
2A-1J-06,-62.98,32.32
2A-1J-07,-62.98,30.14
2A-1J-08,-62.98,30.14
2A-1J-09,-62.98,27.96
2A-1J-10,-62.98,27.96
2A-1J-11,-62.98,25.78
2A-1J-12,-62.98,25.78
2A-1J-13,-62.98,23.6
2A-1J-14,-62.98,23.6
2A-1J-15,-62.98,21.42
2A-1J-16,-62.98,21.42
2A-1K-01,-61.14,21.42
2A-1K-02,-61.14,21.42
2A-1K-03,-61.14,23.6
2A-1K-04,-61.14,23.6
2A-1K-05,-61.14,25.78
2A-1K-06,-61.14,25.78
2A-1K-07,-61.14,27.96
2A-1K-08,-61.14,27.96
2A-1K-09,-61.14,30.14
2A-1K-10,-61.14,30.14
2A-1K-11,-61.14,32.32
2A-1K-12,-61.14,32.32
2A-1K-13,-61.14,34.5
2A-1K-14,-61.14,34.5
2A-1K-15,-61.14,35.37
2A-1K-16,-61.14,35.37
2A-1L-01,-59.3,35.37
2A-1L-02,-59.3,35.37
2A-1L-03,-59.3,34.5
2A-1L-04,-59.3,34.5
2A-1L-05,-59.3,32.32
2A-1L-06,-59.3,32.32
2A-1L-07,-59.3,30.14
2A-1L-08,-59.3,30.14
2A-1L-09,-59.3,27.96
2A-1L-10,-59.3,27.96
2A-1L-11,-59.3,25.78
2A-1L-12,-59.3,25.78
2A-1L-13,-59.3,23.6
2A-1L-14,-59.3,23.6
2A-1L-15,-59.3,21.42
2A-1L-16,-59.3,21.42
2A-1M-01,-57.46,21.42
2A-1M-02,-57.46,21.42
2A-1M-03,-57.46,23.6
